MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2006 to Jun 2026


SORA Value Date,,,SORA Publication Date,SORA
,Sep,01,02 Sep 2014,0.1915
,,02,03 Sep 2014,0.1446
,,03,04 Sep 2014,0.1089
,,04,05 Sep 2014,0.1374
,,05,08 Sep 2014,0.0691
,,08,09 Sep 2014,0.0654
,,09,10 Sep 2014,0.0618
,,10,11 Sep 2014,0.0584
,,11,12 Sep 2014,0.0493
,,12,15 Sep 2014,0.0924
,,15,16 Sep 2014,0.0910
,,16,17 Sep 2014,0.1133
,,17,18 Sep 2014,0.0661
,,18,19 Sep 2014,0.0527
,,19,22 Sep 2014,0.0740
,,22,23 Sep 2014,0.0599
,,23,24 Sep 2014,0.0625
,,24,25 Sep 2014,0.0842
,,25,26 Sep 2014,0.0880
,,26,29 Sep 2014,0.1372
,,29,30 Sep 2014,0.0615
,,30,01 Oct 2014,0.0751
,Oct,01,02 Oct 2014,0.0803
,,02,03 Oct 2014,0.0718
,,03,07 Oct 2014,0.0803
,,07,08 Oct 2014,0.0496
,,08,09 Oct 2014,0.0523
,,09,10 Oct 2014,0.0476
,,10,13 Oct 2014,0.0571
,,13,14 Oct 2014,0.0674
,,14,15 Oct 2014,0.0813
,,15,16 Oct 2014,0.1109
,,16,17 Oct 2014,0.0670
,,17,20 Oct 2014,0.0749
,,20,21 Oct 2014,0.0604
,,21,23 Oct 2014,0.0754
,,23,24 Oct 2014,0.0560
,,24,27 Oct 2014,0.0913
,,27,28 Oct 2014,0.0673
,,28,29 Oct 2014,0.0831
,,29,30 Oct 2014,0.0952
,,30,31 Oct 2014,0.0739
,,31,03 Nov 2014,0.1170
,Nov,03,04 Nov 2014,0.2229
,,04,05 Nov 2014,0.1612
,,05,06 Nov 2014,0.1619
,,06,07 Nov 2014,0.2298
,,07,10 Nov 2014,0.1369
,,10,11 Nov 2014,0.1011
,,11,12 Nov 2014,0.1126
,,12,13 Nov 2014,0.0723
,,13,14 Nov 2014,0.0605
,,14,17 Nov 2014,0.0777
,,17,18 Nov 2014,0.0907
,,18,19 Nov 2014,0.0888
,,19,20 Nov 2014,0.1130
,,20,21 Nov 2014,0.1155
,,21,24 Nov 2014,0.1266
,,24,25 Nov 2014,0.1308
,,25,26 Nov 2014,0.1562
,,26,27 Nov 2014,0.0965
,,27,28 Nov 2014,0.1184
,,28,01 Dec 2014,0.2011
,Dec,01,02 Dec 2014,0.1018
,,02,03 Dec 2014,0.0861
,,03,04 Dec 2014,0.1126
,,04,05 Dec 2014,0.1038
,,05,08 Dec 2014,0.1161
,,08,09 Dec 2014,0.1747
,,09,10 Dec 2014,0.1624
,,10,11 Dec 2014,0.1198
,,11,12 Dec 2014,0.0650
,,12,15 Dec 2014,0.0666
,,15,16 Dec 2014,0.0789
,,16,17 Dec 2014,0.0881
,,17,18 Dec 2014,0.0889
,,18,19 Dec 2014,0.2039
,,19,22 Dec 2014,0.3186
,,22,23 Dec 2014,0.2258
,,23,24 Dec 2014,0.1706
,,24,26 Dec 2014,0.0503
,,26,29 Dec 2014,0.1268
,,29,30 Dec 2014,0.2327
,,30,31 Dec 2014,0.2535
,,31,02 Jan 2015,0.2484


SORA Value Date,,,SORA Publication Date,SORA
2015,Jan,02,05 Jan 2015,0.1730
,,05,06 Jan 2015,0.3020
,,06,07 Jan 2015,0.1871
,,07,08 Jan 2015,0.1043
,,08,09 Jan 2015,0.0778
,,09,12 Jan 2015,0.1350
,,12,13 Jan 2015,0.1423
,,13,14 Jan 2015,0.1106
,,14,15 Jan 2015,0.0867
,,15,16 Jan 2015,0.1014
,,16,19 Jan 2015,0.0488
,,19,20 Jan 2015,0.0496
,,20,21 Jan 2015,0.0696
,,21,22 Jan 2015,0.0487
,,22,23 Jan 2015,0.0655
,,23,26 Jan 2015,0.0730
,,26,27 Jan 2015,0.0951
,,27,28 Jan 2015,0.1393
,,28,29 Jan 2015,0.3499
,,29,30 Jan 2015,0.2774
,,30,02 Feb 2015,0.3866
,Feb,02,03 Feb 2015,0.2590
,,03,04 Feb 2015,0.1517
,,04,05 Feb 2015,0.1278
,,05,06 Feb 2015,0.2307
,,06,09 Feb 2015,0.1930
,,09,10 Feb 2015,0.3004
,,10,11 Feb 2015,0.2927
,,11,12 Feb 2015,0.2541
,,12,13 Feb 2015,0.2587
,,13,16 Feb 2015,0.2150
,,16,17 Feb 2015,0.1832
,,17,18 Feb 2015,0.2848
,,18,23 Feb 2015,0.4929
,,23,24 Feb 2015,0.4635
,,24,25 Feb 2015,0.4307
,,25,26 Feb 2015,0.2796
,,26,27 Feb 2015,0.2797
,,27,02 Mar 2015,0.3447
,Mar,02,03 Mar 2015,0.4297
,,03,04 Mar 2015,0.3540
,,04,05 Mar 2015,0.2646
,,05,06 Mar 2015,0.1165
,,06,09 Mar 2015,0.1569
,,09,10 Mar 2015,0.1995
,,10,11 Mar 2015,0.1676
,,11,12 Mar 2015,0.1838
,,12,13 Mar 2015,0.1191
,,13,16 Mar 2015,0.1013
,,16,17 Mar 2015,0.1177
,,17,18 Mar 2015,0.1845
,,18,19 Mar 2015,0.3618
,,19,20 Mar 2015,0.4119
,,20,23 Mar 2015,0.6044
,,23,24 Mar 2015,0.5587
,,24,25 Mar 2015,0.1859
,,25,26 Mar 2015,0.1207
,,26,27 Mar 2015,0.1948
,,27,30 Mar 2015,0.1813
,,30,31 Mar 2015,0.1460
,,31,01 Apr 2015,0.3023
,Apr,01,02 Apr 2015,0.2213
,,02,06 Apr 2015,0.2512
,,06,07 Apr 2015,0.4473
,,07,08 Apr 2015,0.4897
,,08,09 Apr 2015,0.3874
,,09,10 Apr 2015,0.3216
,,10,13 Apr 2015,0.2356
,,13,14 Apr 2015,0.2098
,,14,15 Apr 2015,0.1330
,,15,16 Apr 2015,0.1189
,,16,17 Apr 2015,0.0510
,,17,20 Apr 2015,0.0672
,,20,21 Apr 2015,0.0962
,,21,22 Apr 2015,0.1922
,,22,23 Apr 2015,0.2141
,,23,24 Apr 2015,0.2142
,,24,27 Apr 2015,0.2791
,,27,28 Apr 2015,0.2350
,,28,29 Apr 2015,0.3689
,,29,30 Apr 2015,0.2849
,,30,04 May 2015,0.2264
,May,04,05 May 2015,0.4917
,,05,06 May 2015,0.4986
,,06,07 May 2015,0.6033
,,07,08 May 2015,0.5122
,,08,11 May 2015,0.2376
,,11,12 May 2015,0.1146
,,12,13 May 2015,0.0745
,,13,14 May 2015,0.0345
,,14,15 May 2015,0.0373
,,15,18 May 2015,0.0695
,,18,19 May 2015,0.0644
,,19,20 May 2015,0.0761
,,20,21 May 2015,0.0925
,,21,22 May 2015,0.1170
,,22,25 May 2015,0.1395
,,25,26 May 2015,0.1728
,,26,27 May 2015,0.2131
,,27,28 May 2015,0.3119
,,28,29 May 2015,0.2203
,,29,02 Jun 2015,0.3903
,Jun,02,03 Jun 2015,0.3378
,,03,04 Jun 2015,0.3433
,,04,05 Jun 2015,0.2172
,,05,08 Jun 2015,0.1201
,,08,09 Jun 2015,0.0894
,,09,10 Jun 2015,0.0734
,,10,11 Jun 2015,0.0552
,,11,12 Jun 2015,0.0675
,,12,15 Jun 2015,0.0631
,,15,16 Jun 2015,0.0752
,,16,17 Jun 2015,0.0616
,,17,18 Jun 2015,0.0749
,,18,19 Jun 2015,0.0878
,,19,22 Jun 2015,0.1722
,,22,23 Jun 2015,0.3390
,,23,24 Jun 2015,0.2616
,,24,25 Jun 2015,0.2419
,,25,26 Jun 2015,0.1759
,,26,29 Jun 2015,0.3613
,,29,30 Jun 2015,0.9921
,,30,01 Jul 2015,1.0098
,Jul,01,02 Jul 2015,0.5795
,,02,03 Jul 2015,0.5193
,,03,06 Jul 2015,0.2663
,,06,07 Jul 2015,0.2480
,,07,08 Jul 2015,0.1594
,,08,09 Jul 2015,0.0485
,,09,10 Jul 2015,0.0329
,,10,13 Jul 2015,0.0480
,,13,14 Jul 2015,0.0681
,,14,15 Jul 2015,0.1289
,,15,16 Jul 2015,0.2164
,,16,20 Jul 2015,0.3106
,,20,21 Jul 2015,0.2813
,,21,22 Jul 2015,0.2098
,,22,23 Jul 2015,0.1340
,,23,24 Jul 2015,0.1518
,,24,27 Jul 2015,0.2058
,,27,28 Jul 2015,0.2773
,,28,29 Jul 2015,0.2330
,,29,30 Jul 2015,0.2324
,,30,31 Jul 2015,0.2464
,,31,03 Aug 2015,0.2294
,Aug,03,04 Aug 2015,0.1589
,,04,05 Aug 2015,0.1852
,,05,06 Aug 2015,0.1724
,,06,11 Aug 2015,0.1110
,,11,12 Aug 2015,0.1450
,,12,13 Aug 2015,0.1034
,,13,14 Aug 2015,0.1238
,,14,17 Aug 2015,0.0907
,,17,18 Aug 2015,0.0886
,,18,19 Aug 2015,0.1743
,,19,20 Aug 2015,0.1478
,,20,21 Aug 2015,0.1225
,,21,24 Aug 2015,0.2854
,,24,25 Aug 2015,0.6583
,,25,26 Aug 2015,1.2265
,,26,27 Aug 2015,0.7726
,,27,28 Aug 2015,0.2978
,,28,31 Aug 2015,0.1963
,,31,01 Sep 2015,0.4865
,Sep,01,02 Sep 2015,0.2117
,,02,03 Sep 2015,0.1610
,,03,04 Sep 2015,0.0773
,,04,07 Sep 2015,0.0573
,,07,08 Sep 2015,0.0806
,,08,09 Sep 2015,0.2133
,,09,10 Sep 2015,0.1118
,,10,14 Sep 2015,0.3055
,,14,15 Sep 2015,0.2027
,,15,16 Sep 2015,0.1956
,,16,17 Sep 2015,0.2002
,,17,18 Sep 2015,0.2299
,,18,21 Sep 2015,0.1870
,,21,22 Sep 2015,0.1394
,,22,23 Sep 2015,0.1841
,,23,25 Sep 2015,0.1200
,,25,28 Sep 2015,0.1862
,,28,29 Sep 2015,0.1999
,,29,30 Sep 2015,0.1105
,,30,01 Oct 2015,0.2158
,Oct,01,02 Oct 2015,0.1573
,,02,05 Oct 2015,0.3206
,,05,06 Oct 2015,0.2704
,,06,07 Oct 2015,0.2789
,,07,08 Oct 2015,0.1463
,,08,09 Oct 2015,0.0645
,,09,12 Oct 2015,0.0301
,,12,13 Oct 2015,0.0407
,,13,14 Oct 2015,0.0270
,,14,15 Oct 2015,0.0338
,,15,16 Oct 2015,0.0571
,,16,19 Oct 2015,0.2107
,,19,20 Oct 2015,0.2296
,,20,21 Oct 2015,0.1067
,,21,22 Oct 2015,0.1595
,,22,23 Oct 2015,0.3093
,,23,26 Oct 2015,0.5614
,,26,27 Oct 2015,0.3848
,,27,28 Oct 2015,0.3994
,,28,29 Oct 2015,0.6862
,,29,30 Oct 2015,0.8090
,,30,02 Nov 2015,1.0026
,Nov,02,03 Nov 2015,0.7076
,,03,04 Nov 2015,0.2755
,,04,05 Nov 2015,0.1229
,,05,06 Nov 2015,0.2372
,,06,09 Nov 2015,0.1600
,,09,11 Nov 2015,0.2111
,,11,12 Nov 2015,0.0758
,,12,13 Nov 2015,0.2109
,,13,16 Nov 2015,0.6254
,,16,17 Nov 2015,0.6204
,,17,18 Nov 2015,0.5701
,,18,19 Nov 2015,0.4563
,,19,20 Nov 2015,0.2024
,,20,23 Nov 2015,0.3069
,,23,24 Nov 2015,0.4644
,,24,25 Nov 2015,0.7355
,,25,26 Nov 2015,0.3878
,,26,27 Nov 2015,0.4032
,,27,30 Nov 2015,0.6995
,,30,01 Dec 2015,0.6487
,Dec,01,02 Dec 2015,0.4087
,,02,03 Dec 2015,0.4295
,,03,04 Dec 2015,0.2785
,,04,07 Dec 2015,0.2963
,,07,08 Dec 2015,0.2280
,,08,09 Dec 2015,0.2643
,,09,10 Dec 2015,0.2058
,,10,11 Dec 2015,0.1305
,,11,14 Dec 2015,0.2475
,,14,15 Dec 2015,0.2480
,,15,16 Dec 2015,0.2907
,,16,17 Dec 2015,0.3600
,,17,18 Dec 2015,0.3339
,,18,21 Dec 2015,0.1877
,,21,22 Dec 2015,0.1435
,,22,23 Dec 2015,0.1908
,,23,24 Dec 2015,0.2532
,,24,28 Dec 2015,0.1939
,,28,29 Dec 2015,0.3021
,,29,30 Dec 2015,0.2059
,,30,31 Dec 2015,0.2688
,,31,04 Jan 2016,0.7159


SORA Value Date,,,SORA Publication Date,SORA
2016,Jan,04,05 Jan 2016,0.4150
,,05,06 Jan 2016,0.2071
,,06,07 Jan 2016,0.4788
,,07,08 Jan 2016,0.6187
,,08,11 Jan 2016,0.6600
,,11,12 Jan 2016,0.9215
,,12,13 Jan 2016,0.6327
,,13,14 Jan 2016,0.5400
,,14,15 Jan 2016,0.1810
,,15,18 Jan 2016,0.1571
,,18,19 Jan 2016,0.3344
,,19,20 Jan 2016,0.2782
,,20,21 Jan 2016,0.2574
,,21,22 Jan 2016,0.1234
,,22,25 Jan 2016,0.1559
,,25,26 Jan 2016,0.1477
,,26,27 Jan 2016,0.1594
,,27,28 Jan 2016,0.1371
,,28,29 Jan 2016,0.1949
,,29,01 Feb 2016,0.1954
,Feb,01,02 Feb 2016,0.1572
,,02,03 Feb 2016,0.2748
,,03,04 Feb 2016,0.2359
,,04,05 Feb 2016,0.2640
,,05,10 Feb 2016,0.3061
,,10,11 Feb 2016,0.1460
,,11,12 Feb 2016,0.0879
,,12,15 Feb 2016,0.1689
,,15,16 Feb 2016,0.1309
,,16,17 Feb 2016,0.2218
,,17,18 Feb 2016,0.3530
,,18,19 Feb 2016,0.3423
,,19,22 Feb 2016,0.2776
,,22,23 Feb 2016,0.3736
,,23,24 Feb 2016,0.3094
,,24,25 Feb 2016,0.3774
,,25,26 Feb 2016,0.3362
,,26,29 Feb 2016,0.3476
,,29,01 Mar 2016,0.5059
,Mar,01,02 Mar 2016,0.4915
,,02,03 Mar 2016,0.4329
,,03,04 Mar 2016,0.4150
,,04,07 Mar 2016,0.2754
,,07,08 Mar 2016,0.2912
,,08,09 Mar 2016,0.3696
,,09,10 Mar 2016,0.2949
,,10,11 Mar 2016,0.3274
,,11,14 Mar 2016,0.3000
,,14,15 Mar 2016,0.2973
,,15,16 Mar 2016,0.2826
,,16,17 Mar 2016,0.2754
,,17,18 Mar 2016,0.1751
,,18,21 Mar 2016,0.2330
,,21,22 Mar 2016,0.2849
,,22,23 Mar 2016,0.2591
,,23,24 Mar 2016,0.2309
,,24,28 Mar 2016,0.2752
,,28,29 Mar 2016,0.3018
,,29,30 Mar 2016,0.1692
,,30,31 Mar 2016,0.1035
,,31,01 Apr 2016,0.1332
,Apr,01,04 Apr 2016,0.2503
,,04,05 Apr 2016,0.2835
,,05,06 Apr 2016,0.2968
,,06,07 Apr 2016,0.2105
,,07,08 Apr 2016,0.2044
,,08,11 Apr 2016,0.1936
,,11,12 Apr 2016,0.2105
,,12,13 Apr 2016,0.1244
,,13,14 Apr 2016,0.1451
,,14,15 Apr 2016,0.3209
,,15,18 Apr 2016,0.3666
,,18,19 Apr 2016,0.2637
,,19,20 Apr 2016,0.3029
,,20,21 Apr 2016,0.3540
,,21,22 Apr 2016,0.4835
,,22,25 Apr 2016,0.6771
,,25,26 Apr 2016,0.5986
,,26,27 Apr 2016,0.6649
,,27,28 Apr 2016,0.6359
,,28,29 Apr 2016,0.3292
,,29,03 May 2016,0.4125
,May,03,04 May 2016,0.5060
,,04,05 May 2016,0.2011
,,05,06 May 2016,0.1426
,,06,09 May 2016,0.2989
,,09,10 May 2016,0.2913
,,10,11 May 2016,0.1364
,,11,12 May 2016,0.0599
,,12,13 May 2016,0.1049
,,13,16 May 2016,0.0950
,,16,17 May 2016,0.0765
,,17,18 May 2016,0.0805
,,18,19 May 2016,0.1209
,,19,20 May 2016,0.1827
,,20,23 May 2016,0.1496
,,23,24 May 2016,0.2659
,,24,25 May 2016,0.2268
,,25,26 May 2016,0.3290
,,26,27 May 2016,0.2552
,,27,30 May 2016,0.2290
,,30,31 May 2016,0.3567
,,31,01 Jun 2016,0.2297
,Jun,01,02 Jun 2016,0.2393
,,02,03 Jun 2016,0.1044
,,03,06 Jun 2016,0.1153
,,06,07 Jun 2016,0.1614
,,07,08 Jun 2016,0.0581
,,08,09 Jun 2016,0.0565
,,09,10 Jun 2016,0.0574
,,10,13 Jun 2016,0.1128
,,13,14 Jun 2016,0.0921
,,14,15 Jun 2016,0.0510
,,15,16 Jun 2016,0.0414
,,16,17 Jun 2016,0.0727
,,17,20 Jun 2016,0.0741
,,20,21 Jun 2016,0.0774
,,21,22 Jun 2016,0.0626
,,22,23 Jun 2016,0.0416
,,23,24 Jun 2016,0.0430
,,24,27 Jun 2016,0.0825
,,27,28 Jun 2016,0.0846
,,28,29 Jun 2016,0.0831
,,29,30 Jun 2016,0.1845
,,30,01 Jul 2016,0.4412
,Jul,01,04 Jul 2016,0.1478
,,04,05 Jul 2016,0.1342
,,05,07 Jul 2016,0.1090
,,07,08 Jul 2016,0.0847
,,08,11 Jul 2016,0.0717
,,11,12 Jul 2016,0.0566
,,12,13 Jul 2016,0.0640
,,13,14 Jul 2016,0.0563
,,14,15 Jul 2016,0.0750
,,15,18 Jul 2016,0.1187
,,18,19 Jul 2016,0.0727
,,19,20 Jul 2016,0.0557
,,20,21 Jul 2016,0.1572
,,21,22 Jul 2016,0.4879
,,22,25 Jul 2016,0.3511
,,25,26 Jul 2016,0.6345
,,26,27 Jul 2016,0.7764
,,27,28 Jul 2016,0.8879
,,28,29 Jul 2016,0.7445
,,29,01 Aug 2016,0.3713
,Aug,01,02 Aug 2016,0.1956
,,02,03 Aug 2016,0.0725
,,03,04 Aug 2016,0.0223
,,04,05 Aug 2016,0.0241
,,05,08 Aug 2016,0.0135
,,08,10 Aug 2016,0.0134
,,10,11 Aug 2016,0.0173
,,11,12 Aug 2016,0.0178
,,12,15 Aug 2016,0.0210
,,15,16 Aug 2016,0.0486
,,16,17 Aug 2016,0.0696
,,17,18 Aug 2016,0.1219
,,18,19 Aug 2016,0.1091
,,19,22 Aug 2016,0.0737
,,22,23 Aug 2016,0.0612
,,23,24 Aug 2016,0.0743
,,24,25 Aug 2016,0.0402
,,25,26 Aug 2016,0.0876
,,26,29 Aug 2016,0.1857
,,29,30 Aug 2016,0.3628
,,30,31 Aug 2016,0.1422
,,31,01 Sep 2016,0.3781
,Sep,01,02 Sep 2016,0.0919
,,02,05 Sep 2016,0.0808
,,05,06 Sep 2016,0.0855
,,06,07 Sep 2016,0.0467
,,07,08 Sep 2016,0.0294
,,08,09 Sep 2016,0.0184
,,09,13 Sep 2016,0.0282
,,13,14 Sep 2016,0.0410
,,14,15 Sep 2016,0.0721
,,15,16 Sep 2016,0.0343
,,16,19 Sep 2016,0.0495
,,19,20 Sep 2016,0.0477
,,20,21 Sep 2016,0.0441
,,21,22 Sep 2016,0.0439
,,22,23 Sep 2016,0.0476
,,23,26 Sep 2016,0.0532
,,26,27 Sep 2016,0.0705
,,27,28 Sep 2016,0.0743
,,28,29 Sep 2016,0.1344
,,29,30 Sep 2016,0.1821
,,30,03 Oct 2016,0.1248
,Oct,03,04 Oct 2016,0.0488
,,04,05 Oct 2016,0.0369
,,05,06 Oct 2016,0.0452
,,06,07 Oct 2016,0.0621
,,07,10 Oct 2016,0.1203
,,10,11 Oct 2016,0.0811
,,11,12 Oct 2016,0.1175
,,12,13 Oct 2016,0.1134
,,13,14 Oct 2016,0.0380
,,14,17 Oct 2016,0.0842
,,17,18 Oct 2016,0.0289
,,18,19 Oct 2016,0.0305
,,19,20 Oct 2016,0.0475
,,20,21 Oct 2016,0.0586
,,21,24 Oct 2016,0.1608
,,24,25 Oct 2016,0.1838
,,25,26 Oct 2016,0.0858
,,26,27 Oct 2016,0.0658
,,27,28 Oct 2016,0.0655
,,28,31 Oct 2016,0.0964
,,31,01 Nov 2016,0.0731
,Nov,01,02 Nov 2016,0.0734
,,02,03 Nov 2016,0.0796
,,03,04 Nov 2016,0.0413
,,04,07 Nov 2016,0.0768
,,07,08 Nov 2016,0.0550
,,08,09 Nov 2016,0.0802
,,09,10 Nov 2016,0.0833
,,10,11 Nov 2016,0.0815
,,11,14 Nov 2016,0.0384
,,14,15 Nov 2016,0.0969
,,15,16 Nov 2016,0.0761
,,16,17 Nov 2016,0.0781
,,17,18 Nov 2016,0.0494
,,18,21 Nov 2016,0.0495
,,21,22 Nov 2016,0.1094
,,22,23 Nov 2016,0.0849
,,23,24 Nov 2016,0.0742
,,24,25 Nov 2016,0.0700
,,25,28 Nov 2016,0.3243
,,28,29 Nov 2016,0.1918
,,29,30 Nov 2016,0.2422
,,30,01 Dec 2016,0.0649
,Dec,01,02 Dec 2016,0.0459
,,02,05 Dec 2016,0.0498
,,05,06 Dec 2016,0.0963
,,06,07 Dec 2016,0.1152
,,07,08 Dec 2016,0.0639
,,08,09 Dec 2016,0.1106
,,09,12 Dec 2016,0.1152
,,12,13 Dec 2016,0.1602
,,13,14 Dec 2016,0.3858
,,14,15 Dec 2016,0.3725
,,15,16 Dec 2016,0.3876
,,16,19 Dec 2016,0.2480
,,19,20 Dec 2016,0.3729
,,20,21 Dec 2016,0.2941
,,21,22 Dec 2016,0.2255
,,22,23 Dec 2016,0.1090
,,23,27 Dec 2016,0.2062
,,27,28 Dec 2016,0.2848
,,28,29 Dec 2016,0.4048
,,29,30 Dec 2016,0.4114
,,30,03 Jan 2017,0.4595


SORA Value Date,,,SORA Publication Date,SORA
2017,Jan,03,04 Jan 2017,0.2354
,,04,05 Jan 2017,0.1257
,,05,06 Jan 2017,0.1040
,,06,09 Jan 2017,0.1122
,,09,10 Jan 2017,0.0523
,,10,11 Jan 2017,0.0301
,,11,12 Jan 2017,0.0378
,,12,13 Jan 2017,0.0555
,,13,16 Jan 2017,0.1292
,,16,17 Jan 2017,0.1119
,,17,18 Jan 2017,0.1605
,,18,19 Jan 2017,0.1319
,,19,20 Jan 2017,0.0983
,,20,23 Jan 2017,0.0598
,,23,24 Jan 2017,0.0799
,,24,25 Jan 2017,0.0865
,,25,26 Jan 2017,0.0685
,,26,27 Jan 2017,0.1849
,,27,31 Jan 2017,0.5198
,,31,01 Feb 2017,0.1388
,Feb,01,02 Feb 2017,0.1208
,,02,03 Feb 2017,0.2009
,,03,06 Feb 2017,0.4127
,,06,07 Feb 2017,0.3364
,,07,08 Feb 2017,0.1171
,,08,09 Feb 2017,0.1515
,,09,10 Feb 2017,0.3380
,,10,13 Feb 2017,0.5471
,,13,14 Feb 2017,0.6944
,,14,15 Feb 2017,0.3852
,,15,16 Feb 2017,0.1524
,,16,17 Feb 2017,0.0975
,,17,20 Feb 2017,0.1687
,,20,21 Feb 2017,0.1560
,,21,22 Feb 2017,0.5143
,,22,23 Feb 2017,0.6109
,,23,24 Feb 2017,0.5746
,,24,27 Feb 2017,0.2226
,,27,28 Feb 2017,0.3106
,,28,01 Mar 2017,0.4731
,Mar,01,02 Mar 2017,0.3050
,,02,03 Mar 2017,0.1629
,,03,06 Mar 2017,0.1830
,,06,07 Mar 2017,0.2365
,,07,08 Mar 2017,0.1343
,,08,09 Mar 2017,0.0555
,,09,10 Mar 2017,0.1194
,,10,13 Mar 2017,0.1532
,,13,14 Mar 2017,0.1035
,,14,15 Mar 2017,0.1423
,,15,16 Mar 2017,0.1113
,,16,17 Mar 2017,0.3634
,,17,20 Mar 2017,0.4885
,,20,21 Mar 2017,0.6229
,,21,22 Mar 2017,0.3430
,,22,23 Mar 2017,0.3168
,,23,24 Mar 2017,0.1248
,,24,27 Mar 2017,0.2633
,,27,28 Mar 2017,0.2306
,,28,29 Mar 2017,0.1950
,,29,30 Mar 2017,0.4827
,,30,31 Mar 2017,0.4343
,,31,03 Apr 2017,0.5687
,Apr,03,04 Apr 2017,0.6962
,,04,05 Apr 2017,0.3758
,,05,06 Apr 2017,0.3076
,,06,07 Apr 2017,0.2147
,,07,10 Apr 2017,0.1849
,,10,11 Apr 2017,0.2675
,,11,12 Apr 2017,0.3735
,,12,13 Apr 2017,0.4849
,,13,17 Apr 2017,0.7076
,,17,18 Apr 2017,0.4296
,,18,19 Apr 2017,0.3628
,,19,20 Apr 2017,0.2470
,,20,21 Apr 2017,0.3620
,,21,24 Apr 2017,0.4809
,,24,25 Apr 2017,0.4397
,,25,26 Apr 2017,0.4835
,,26,27 Apr 2017,0.5996
,,27,28 Apr 2017,0.3922
,,28,02 May 2017,0.4526
,May,02,03 May 2017,0.4460
,,03,04 May 2017,0.5120
,,04,05 May 2017,0.3957
,,05,08 May 2017,0.4690
,,08,09 May 2017,0.4946
,,09,11 May 2017,0.4974
,,11,12 May 2017,0.5050
,,12,15 May 2017,0.5746
,,15,16 May 2017,0.5159
,,16,17 May 2017,0.7252
,,17,18 May 2017,0.5820
,,18,19 May 2017,0.5199
,,19,22 May 2017,0.5588
,,22,23 May 2017,0.5613
,,23,24 May 2017,0.4187
,,24,25 May 2017,0.4127
,,25,26 May 2017,0.3323
,,26,29 May 2017,0.4495
,,29,30 May 2017,0.3589
,,30,31 May 2017,0.4404
,,31,01 Jun 2017,0.4503
,Jun,01,02 Jun 2017,0.3647
,,02,05 Jun 2017,0.5698
,,05,06 Jun 2017,0.6237
,,06,07 Jun 2017,0.7110
,,07,08 Jun 2017,0.8227
,,08,09 Jun 2017,0.4644
,,09,12 Jun 2017,0.2618
,,12,13 Jun 2017,0.2335
,,13,14 Jun 2017,0.0917
,,14,15 Jun 2017,0.1126
,,15,16 Jun 2017,0.1495
,,16,19 Jun 2017,0.1433
,,19,20 Jun 2017,0.1576
,,20,21 Jun 2017,0.1526
,,21,22 Jun 2017,0.2760
,,22,23 Jun 2017,0.4513
,,23,27 Jun 2017,1.1334
,,27,28 Jun 2017,0.7300
,,28,29 Jun 2017,0.9212
,,29,30 Jun 2017,1.1955
,,30,03 Jul 2017,0.8239
,Jul,03,04 Jul 2017,0.8275
,,04,05 Jul 2017,1.2140
,,05,06 Jul 2017,1.2275
,,06,07 Jul 2017,0.9298
,,07,10 Jul 2017,1.1808
,,10,11 Jul 2017,1.1877
,,11,12 Jul 2017,1.0680
,,12,13 Jul 2017,0.9984
,,13,14 Jul 2017,0.5523
,,14,17 Jul 2017,0.3909
,,17,18 Jul 2017,0.3072
,,18,19 Jul 2017,0.2644
,,19,20 Jul 2017,0.4248
,,20,21 Jul 2017,0.5738
,,21,24 Jul 2017,0.6979
,,24,25 Jul 2017,0.7706
,,25,26 Jul 2017,0.7800
,,26,27 Jul 2017,0.7354
,,27,28 Jul 2017,0.5795
,,28,31 Jul 2017,0.7337
,,31,01 Aug 2017,0.9860
,Aug,01,02 Aug 2017,0.8904
,,02,03 Aug 2017,0.9353
,,03,04 Aug 2017,0.6009
,,04,07 Aug 2017,0.6899
,,07,08 Aug 2017,0.4968
,,08,10 Aug 2017,0.4332
,,10,11 Aug 2017,0.3925
,,11,14 Aug 2017,0.4601
,,14,15 Aug 2017,0.6628
,,15,16 Aug 2017,0.7048
,,16,17 Aug 2017,0.7716
,,17,18 Aug 2017,0.6699
,,18,21 Aug 2017,0.8218
,,21,22 Aug 2017,0.8527
,,22,23 Aug 2017,0.9036
,,23,24 Aug 2017,0.9766
,,24,25 Aug 2017,1.0179
,,25,28 Aug 2017,1.2455
,,28,29 Aug 2017,1.1370
,,29,30 Aug 2017,0.5851
,,30,31 Aug 2017,0.2874
,,31,04 Sep 2017,0.5189
,Sep,04,05 Sep 2017,0.8749
,,05,06 Sep 2017,0.8973
,,06,07 Sep 2017,0.7411
,,07,08 Sep 2017,0.5901
,,08,11 Sep 2017,0.7084
,,11,12 Sep 2017,0.8189
,,12,13 Sep 2017,0.7175
,,13,14 Sep 2017,0.4524
,,14,15 Sep 2017,0.3192
,,15,18 Sep 2017,0.2772
,,18,19 Sep 2017,0.5204
,,19,20 Sep 2017,0.5091
,,20,21 Sep 2017,0.6871
,,21,22 Sep 2017,0.6471
,,22,25 Sep 2017,0.7077
,,25,26 Sep 2017,0.5900
,,26,27 Sep 2017,0.5617
,,27,28 Sep 2017,0.6652
